"Date","Aluminium Price","Copper Price","BADI -2","MJP","USD Index","AL Prod (Global)","AL Cons (Global)","Aluminium stocks","Alumina Index","Oil Prices"
"2011-01-01","2439.7","9533.2","2321.3181818182","112.5","79.1553809524","3758.482821","3646.5591542059","11886.3473095413","378.2975","97.0"
"2011-02-01","2515.26","9884.9","2030.9444444444","112.5","77.7776","3416.918966","3210.0681146571","12093.1981608842","392.4375","104.0"
"2011-03-01","2555.5","9503.3586956522","1401.8","113.0","76.2876521739","3788.014108","3674.2978401862","12206.9144286979","402.1475","115.0"
"2011-04-01","2667.4166666667","9482.75","1181.1","114.0","74.6897619048","3800.103276","3823.5741200196","12183.4435846784","410.37","123.0"
"2011-05-01","2587.2125","8931.675","1492.6956521739","114.0","74.9430909091","3913.316603","4022.7650162179","12073.9951714605","408.8975","115.0"
"2011-06-01","2557.7613636364","9054.5977272727","1342.5555555556","114.0","74.6946363636","3788.402155","3898.3795564387","11964.0177700217","392.225","114.0"
"2011-07-01","2525.4285714286","9641.280952381","1352.4","120.5","74.734","3952.015892","3855.4135220392","12060.6201399825","379.514","117.0"
"2011-08-01","2380.975","8997.9886363636","1433.2272727273","120.5","74.2385652174","3965.636523","3835.3162702552","12190.9403927273","371.985","110.0"
"2011-09-01","2293.4613636364","8300.1363636364","1365.5238095238","120.5","76.9154545455","3848.906603","3781.2593541826","12258.5876415448","364.394","110.0"
"2011-10-01","2180.6476190476","7394.1904761905","1386.9545454545","119.0","77.1559047619","3985.084184","3755.7436985681","12487.9281269766","352.735","109.0"
"2011-11-01","2079.9818181818","7581.0227272727","1840.4090909091","119.0","77.9575","3852.460259","3634.4943073581","12705.8940786185","328.905","110.0"
"2011-12-01","2024.375","7558.875","2072.4761904762","119.0","79.6295","3977.077611","3700.0641571507","12982.9075324679","310.414","108.0"
"2012-01-01","2151.3333333333","8061.9166666667","1835.3181818182","112.0","80.3330454545","4020.100146","3593.6596366666","13409.3480418013","310.9993333333","111.0"
"2012-02-01","2207.9166666667","8441.4880952381","1868.8235294118","112.0","78.953","3770.523112","3505.5233908715","13674.3477629298","318.4801666667","119.0"
"2012-03-01","2184.1590909091","8470.7840909091","1039.380952381","112.0","79.5589090909","4027.095552","4008.3194013089","13693.1239136209","318.1156666667","125.0"
"2012-04-01","2048.5052631579","8285.5263157895","702.619047619","121.0","79.4295238095","3906.374555","4107.0335529904","13492.4649156305","317.5475","120.0"
"2012-05-01","2002.5227272727","7896.9090909091","858.9545454545","121.0","80.9890869565","4051.920451","4228.1914325476","13316.1939340829","318.0658333333","110.0"
"2012-06-01","1885.5131578947","7428.2894736842","1020.5263157895","121.0","82.2449047619","3915.55722","4047.5807797472","13184.1703743357","313.518","96.0"
"2012-07-01","1876.25","7584.2613636364","1101.2727272727","205.0","83.0227727273","4045.812209","3972.7119974878","13257.2705858479","307.2228333333","103.0"
"2012-08-01","1843.3272727273","7510.4318181818","937.4210526316","205.0","82.1586086957","4031.90948","3975.8966895516","13313.2833762963","315.3223333333","113.0"
"2012-09-01","2064.12","8087.7425","1056.4545454545","205.0","79.87465","3927.269752","3945.2416004386","13295.3115278577","320.4942666667","113.0"
"2012-10-01","1974.3043478261","8062.0326086957","760.8181818182","254.0","79.7373913043","4095.239567","4057.9264532708","13332.6246415868","323.8056666667","112.0"
"2012-11-01","1948.8295454545","7711.2272727273","707.05","254.0","80.6965","4005.034181","3918.4672913884","13419.1915311984","324.8536666667","110.0"
"2012-12-01","2086.7631578947","7966.4868421053","952.4347826087","254.0","79.7488571429","4166.839692","4024.8414088468","13561.1898143516","330.6888888889","109.0"
"2013-01-01","2037.6068181818","8053.7386363636","1024.6363636364","242.5","79.871173913","4249.806626","3948.9053299664","13862.0911103852","334.6213333333","112.0"
"2013-02-01","2053.595","8060.925","855.6875","242.5","80.6024","3867.536109","3677.3275240759","14052.2996953093","348.6701666667","116.0"
"2013-03-01","1911.2825","7652.375","770.5909090909","242.5","82.6411904762","4271.601359","4097.3236362822","14226.5774180271","336.3958333333","110.0"
"2013-04-01","1861.0238095238","7221.1619047619","744.95","249.0","82.5234545455","4145.984163","4310.7256239818","14061.8359570453","323.657","103.0"
"2013-05-01","1832.5714285714","7248.7142857143","876.1","249.0","83.215826087","4274.407288","4413.3165416199","13922.9267034254","325.0483333333","103.0"
"2013-06-01","1814.5375","7000.2375","874.0","249.0","81.8737","4143.714551","4388.572385304","13678.0688691214","320.895","103.0"
"2013-07-01","1769.6086956522","6906.6413043478","851.380952381","250.0","82.816173913","4264.665251","4355.4436541138","13587.2904660077","315.7423333333","107.0"
"2013-08-01","1816.2357142857","7186.25","940.5","250.0","81.4815909091","4280.970181","4376.6872480138","13491.5733989938","317.8366666667","110.0"
"2013-09-01","1762.2825","7162.4825","1123.1304347826","250.0","81.2060952381","4173.942909","4242.8981156902","13422.6181923036","322.8035","111.0"
"2013-10-01","1814.5826086957","7203.0217391304","1088.0952380952","246.0","79.8712173913","4317.850399","4383.8562769346","13356.612314369","318.8006666667","109.0"
"2013-11-01","1747.9642857143","7070.6547619048","1680.5238095238","246.0","80.8461904762","4231.946238","4238.5645062628","13349.9940461062","323.5233333333","108.0"
"2013-12-01","1739.81","7214.9","1883.1739130435","246.0","80.3240909091","4384.713576","4183.286773652","13551.4208484543","326.2032222222","111.0"
"2014-01-01","1727.4113636364","7291.4659090909","1558.8571428571","225.0","80.7974782609","4471.243125","4391.4577409606","13631.2062324937","334.683","107.0"
"2014-02-01","1695.165","7149.2125","2178.0588235294","225.0","80.4373","4065.728649","3850.1380854568","13846.7967960368","329.3166666667","109.0"
"2014-03-01","1705.3666666667","6650.0357142857","1472.4090909091","225.0","79.8715238095","4569.426825","4356.4128314484","14059.8107895884","318.8373333333","108.0"
"2014-04-01","1810.675","6673.5625","1139.85","367.5","79.8508636364","4423.863189","4572.0381257096","13911.6358528788","322.8323333333","108.0"
"2014-05-01","1751.05","6891.125","1484.1428571429","367.5","79.9639090909","4565.800964","4773.5895293118","13703.8472875669","316.8793333333","109.0"
"2014-06-01","1838.9523809524","6821.1428571429","1045.35","367.5","80.4402380952","4418.668281","4738.6306936966","13383.8848748703","310.1876666667","112.0"
"2014-07-01","1948.3043478261","7113.3804347826","991.45","404.0","80.5353913043","4577.349478","4789.9812728322","13171.2530800381","310.5183333333","108.0"
"2014-08-01","2030.4925","7001.8375","911.5714285714","404.0","81.8562380952","4594.691677","4671.4324526854","13094.5123043528","318.2273333333","103.0"
"2014-09-01","1990.4318181818","6872.2159090909","795.5652173913","404.0","84.3656818182","4483.967863","4519.7601530244","13058.7200143284","337.2908333333","99.0"
"2014-10-01","1946.1891304348","6737.4782608696","937.1","420.0","85.6806521739","4658.6146","4786.0491264528","12931.2854878756","353.4833333333","88.0"
"2014-11-01","2055.555","6712.85","1122.7272727273","420.0","87.72215","4580.094509","4473.9547519629","13037.4252449128","354.3258333333","80.0"
"2014-12-01","1909.4595238095","6446.4523809524","1100.9565217391","420.0","89.1566818182","4752.943325","4520.0871382469","13270.2814316658","354.3383333333","63.0"
"2015-01-01","1814.719047619","5830.5357142857","1332.15","423.75","92.9362857143","4806.069193","4587.6151370998","13488.735487566","351.0136666667","50.0"
"2015-02-01","1817.82","5729.275","909.6111111111","423.75","94.4546","4358.851633","4031.5626095652","13816.0245110008","337.8098333333","59.0"
"2015-03-01","1773.8636363636","5939.6704545455","725.1904761905","423.75","97.8973181818","4831.2904","4537.9751893595","14109.3397216412","337.3858333333","57.0"
"2015-04-01","1819.1875","6042.0875","539.4","380.0","97.5193636364","4695.060247","4692.1314506336","14112.2685180077","341.7021666667","61.0"
